,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
242,01337,2609,49.2,58875,31366,117,4.4844768110387125
243,01338,169,52.1,69886,39439,5,2.9585798816568047
244,01339,1597,49.7,50536,29981,236,14.777708202880401
245,01340,1784,46.5,49886,29025,187,10.48206278026906
246,01341,1605,47.9,77500,37209,91,5.669781931464175
247,01342,1506,43.2,99675,46508,74,4.913678618857902
248,01343,76,57.4,81806,38675,0,0.0
249,01344,1526,39,57500,24274,141,9.239842726081259
250,01346,448,54,65000,33809,49,10.9375
251,01347,93,38.5,31250,16610,21,22.580645161290324
252,01349,844,52.1,50714,27191,137,16.232227488151658
253,01350,117,41.5,36875,23709,13,11.11111111111111
254,01351,2253,45.5,70799,34353,192,8.5219707057257
255,01354,1532,47.8,74583,34215,130,8.485639686684074
256,01355,990,42.1,68929,28963,69,6.96969696969697
257,01360,3033,45.5,60608,32021,135,4.451038575667655
258,01364,7960,40.2,45758,21734,984,12.361809045226131
259,01366,1294,50.2,76094,33059,92,7.109737248840804
260,01367,590,43.3,47279,26501,97,16.440677966101696
261,01368,1161,43.7,60750,27999,161,13.867355727820843
262,01370,4113,47.9,53516,29074,309,7.512764405543399
263,01373,4441,46.4,64127,31811,201,4.526007655933348
264,01375,3692,26.9,47000,28057,773,20.937161430119176
265,01376,5513,41.9,39792,24108,1308,23.725739161980773
266,01378,639,55.4,56094,33914,68,10.641627543035995
267,01379,957,50.3,48188,27732,141,14.733542319749215
268,01420,40358,34.7,45363,22620,7864,19.48560384558204
269,01430,6119,42.4,83532,34454,422,6.896551724137931
270,01431,3114,44.8,82778,33228,174,5.5876685934489405
271,01432,7061,43.3,57543,34502,732,10.36680356889959
272,01434,1702,39.6,77396,14154,192,11.280846063454758
273,01436,3838,42.4,69076,27831,337,8.780614903595623
274,01438,359,51.9,62422,24617,132,36.768802228412255
275,01440,20388,40.7,49067,23297,2754,13.507945850500294
276,01450,10842,43.6,117127,48248,403,3.7170263788968825
277,01451,4964,46.8,136058,60872,276,5.560032232070911
278,01452,4398,44.6,86979,33730,269,6.1164165529786265
279,01453,41002,41.2,58896,29382,4239,10.338520072191601
280,01460,9038,44.1,105455,47502,295,3.2639964593936712
281,01462,10549,44.2,76063,35866,862,8.171390653142478
282,01463,11645,43.1,81193,35689,583,5.006440532417346
283,01464,7435,39,65882,24469,837,11.257565568258238
284,01467,398,42.3,181810,57529,62,15.577889447236181
285,01468,3710,44,62096,28094,512,13.800539083557952
286,01469,7044,40.4,78985,34037,352,4.997160704145372
287,01473,7320,43.6,83840,34860,321,4.385245901639344
288,01474,1993,44.6,90521,37146,114,5.720020070245861
289,01475,10386,44.3,58288,27204,1048,10.09050645099172
290,01501,16089,44,73612,34644,581,3.61116290633352
291,01503,2886,45.5,95962,44297,71,2.46015246015246
292,01504,9035,40.6,74294,32488,427,4.72606530160487
293,01505,4366,44.7,97938,53378,106,2.4278515803939533
294,01506,3382,43.5,61800,29391,190,5.617977528089888
295,01507,13034,42.2,93963,35678,553,4.242749731471536
296,01510,13634,41.3,64723,31765,1280,9.388293970954965
297,01515,2253,42.7,66042,30172,119,5.281846426986241
298,01516,8575,39.8,82831,36503,361,4.209912536443149
299,01518,2689,42.6,61719,33795,365,13.57381926366679
300,01519,6514,39.1,102300,44302,491,7.537611298741173
301,01520,14354,42.3,96780,41173,426,2.967813849797966
302,01521,2442,43.6,67684,32734,190,7.78050778050778
303,01522,3145,41.3,93238,38120,74,2.3529411764705883
304,01523,7680,39.2,78283,28387,780,10.15625
305,01524,6940,39.3,68899,29142,355,5.115273775216139
306,01525,145,32.7,44857,33626,0,0.0
307,01527,13264,43,71832,32329,696,5.247285886610374
